key,patentes,antig,nac,dirs,lic,venc_man,manual,hr
ACOSTA,✓,✓,✓,✓,✓,✓,✓,✓
ALBORNOZ,✓,✓,✓,✓,✓,✓,✓,✓
ALVAREZ,✓,,,✓,✓,✓,✓,✓
ANDRUSZEZEN,✓,✓,✓,✓,✓,✓,✓,✓
ARCUBY,,,,✓,,,,✓
ARIAS,✓,✓,✓,✓,✓,✓,✓,✓
ASTEAZARAN,✓,✓,✓,✓,✓,✓,✓,✓
BAZAN,✓,✓,✓,✓,✓,✓,✓,✓
BENITEZ,✓,✓,✓,✓,✓,✓,✓,✓
BERMAY,✓,,,,✓,✓,✓,
BORDIGNON,✓,✓,✓,✓,✓,✓,✓,✓
BUSTOS,,,,,,✓,,
CALIGIURI,✓,✓,✓,✓,✓,✓,✓,✓
CANCELA,✓,✓,✓,✓,✓,✓,✓,✓
CARDARELLI,,,,✓,,,,
CARTASSO,✓,✓,✓,✓,✓,✓,✓,✓
CEJAS,✓,✓,✓,✓,✓,✓,✓,✓
CLEMENTE,✓,,,,✓,✓,✓,
COSENTINO,✓,✓,✓,✓,✓,✓,✓,✓
DE,✓,✓,✓,✓,✓,✓,✓,✓
FERNANDEZ,✓,✓,✓,✓,✓,✓,✓,✓
FRANCO,✓,✓,✓,✓,✓,✓,✓,✓
GALLASTEGUI,✓,✓,✓,✓,✓,✓,✓,✓
GARCIA,✓,✓,✓,✓,✓,✓,✓,✓
GARMENDIA,✓,✓,✓,✓,✓,✓,✓,✓
GODOY,✓,,,,✓,✓,✓,
GOMEZ,,✓,✓,✓,,,,✓
GRASSI,✓,✓,✓,✓,✓,✓,✓,✓
GUILFORD,✓,✓,✓,✓,✓,✓,✓,
GUSTAVO,,✓,✓,,,,,
JOAQUIN,,,,,,✓,,
JUAREZ,✓,✓,✓,✓,✓,✓,✓,✓
LAGANO,✓,✓,✓,✓,✓,✓,✓,✓
LARRECOCHEA,✓,✓,✓,✓,✓,✓,✓,✓
LEYENDEKER,✓,✓,✓,✓,✓,✓,✓,✓
MARTINEZ,✓,✓,✓,✓,✓,✓,✓,✓
MAZZEI,✓,✓,✓,✓,✓,✓,✓,✓
MEHRING,✓,✓,✓,✓,✓,✓,✓,✓
NOVILLO,✓,✓,✓,✓,✓,✓,✓,✓
ORLANDO,✓,✓,✓,✓,✓,✓,✓,✓
PAREDEZ,✓,✓,✓,✓,✓,✓,✓,✓
PAZ,✓,✓,✓,✓,✓,✓,✓,✓
PITANNA,,,,✓,,,,
PITTANA,✓,✓,✓,✓,✓,✓,✓,✓
PUCHETA,✓,✓,✓,✓,✓,✓,✓,✓
RAMOS,✓,✓,✓,✓,✓,✓,✓,✓
RANDAZZO,✓,✓,✓,✓,✓,✓,✓,✓
RUCKERT,✓,✓,✓,✓,✓,✓,✓,✓
RUPPEL,✓,✓,✓,✓,✓,✓,✓,✓
SAENZ,✓,✓,✓,✓,✓,✓,✓,✓
SALTO,✓,✓,✓,✓,✓,✓,✓,✓
SCHMIDT,✓,✓,✓,✓,✓,✓,✓,✓
SCHWINDT,✓,✓,,✓,✓,✓,✓,✓
SCWHINDT,,,✓,,,,,
SEBASTIAN,,✓,✓,,,,,
SURRA,✓,✓,✓,✓,✓,✓,✓,✓
URBAN,✓,✓,✓,✓,✓,✓,✓,✓
VALENZA,✓,✓,✓,,✓,✓,✓,✓
VALERGA,✓,✓,✓,✓,✓,✓,✓,✓
